replicate,chi2
1,0.010912488988791899
2,0.010912488988791899
3,0.010912488988791899
4,1.2645271409884127
5,0.010912488988791899
6,0.5168894870850245
7,0.5168894870850245
8,0.010912488988791899
9,0.5168894870850245
10,0.010912488988791899
11,1.2645271409884127
12,0.010912488988791899
13,0.26012504028992123
14,0.5168894870850245
15,1.7780560345786192
16,0.26012504028992123
17,1.7780560345786192
18,0.26012504028992123
19,0.010912488988791899
20,0.26012504028992123
21,3.024118791084266
22,0.26012504028992123
23,0.26012504028992123
24,1.7780560345786192
25,0.26012504028992123
26,1.7780560345786192
27,0.010912488988791899
28,0.5168894870850245
29,0.26012504028992123
30,0.010912488988791899
31,0.5168894870850245
32,0.26012504028992123
33,0.5168894870850245
34,0.26012504028992123
35,0.26012504028992123
36,1.2645271409884127
37,0.010912488988791899
38,0.010912488988791899
39,1.7780560345786192
40,0.5168894870850245
41,0.5168894870850245
42,0.010912488988791899
43,0.26012504028992123
44,1.7780560345786192
45,3.024118791084266
46,0.5168894870850245
47,1.7780560345786192
48,0.010912488988791899
49,3.794412131469576
50,1.7780560345786192
51,1.7780560345786192
52,0.010912488988791899
53,3.794412131469576
54,0.5168894870850245
55,0.5168894870850245
56,0.26012504028992123
57,1.7780560345786192
58,1.2645271409884127
59,0.26012504028992123
60,1.2645271409884127
61,0.26012504028992123
62,0.26012504028992123
63,3.794412131469576
64,0.26012504028992123
65,0.26012504028992123
66,0.26012504028992123
67,1.2645271409884127
68,0.5168894870850245
69,0.010912488988791899
70,0.26012504028992123
71,1.2645271409884127
72,0.26012504028992123
73,1.2645271409884127
74,3.024118791084266
75,0.26012504028992123
76,0.010912488988791899
77,0.26012504028992123
78,0.5168894870850245
79,6.565957777757895
80,1.7780560345786192
81,0.26012504028992123
82,1.2645271409884127
83,0.26012504028992123
84,0.26012504028992123
85,0.5168894870850245
86,5.538899990577481
87,1.2645271409884127
88,0.26012504028992123
89,1.7780560345786192
90,3.024118791084266
91,1.2645271409884127
92,0.010912488988791899
93,0.26012504028992123
94,0.5168894870850245
95,0.26012504028992123
96,0.010912488988791899
97,0.5168894870850245
98,0.26012504028992123
99,0.010912488988791899
100,1.2645271409884127
101,0.010912488988791899
102,0.010912488988791899
103,0.5168894870850245
104,0.010912488988791899
105,0.5168894870850245
106,3.024118791084266
107,3.024118791084266
108,6.565957777757895
109,0.5168894870850245
110,0.26012504028992123
111,0.5168894870850245
112,5.538899990577481
113,0.26012504028992123
114,0.26012504028992123
115,0.010912488988791899
116,0.5168894870850245
117,0.010912488988791899
118,0.5168894870850245
119,0.010912488988791899
120,0.26012504028992123
121,3.794412131469576
122,0.010912488988791899
123,0.5168894870850245
124,0.5168894870850245
125,0.5168894870850245
126,0.26012504028992123
127,0.5168894870850245
128,0.5168894870850245
129,1.2645271409884127
130,1.2645271409884127
131,3.794412131469576
132,6.565957777757895
133,5.538899990577481
134,0.26012504028992123
